date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:52:00	3086/3086	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2011%20Jun%202021%2015:26:40%20GMT	https://boldgains.com.ng/wp-content/themes/fairy/js/navigation.js?ver=1.2.3	/home/ace/websites/boldgains/boldgains.com.ng/wp-content/themes/fairy/js/navigation9632.js	(from https://boldgains.com.ng/)
13:52:01	6816/6816	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2011%20Jun%202021%2015:26:40%20GMT	https://boldgains.com.ng/wp-content/themes/fairy/candidthemes/assets/custom/js/custom.js?ver=1.2.3	/home/ace/websites/boldgains/boldgains.com.ng/wp-content/themes/fairy/candidthemes/assets/custom/js/custom9632.js	(from https://boldgains.com.ng/)
13:52:01	91966/91966	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2011%20Jun%202021%2015:26:40%20GMT	https://boldgains.com.ng/wp-content/themes/fairy/candidthemes/assets/framework/slick/slick.js?ver=1.2.3	/home/ace/websites/boldgains/boldgains.com.ng/wp-content/themes/fairy/candidthemes/assets/framework/slick/slick9632.js	(from https://boldgains.com.ng/)
13:52:02	2921/2921	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2011%20May%202021%2011:35:49%20GMT	https://boldgains.com.ng/wp-content/plugins/thrive-visual-editor/thrive-dashboard/js/dist/frontend.min.js?ver=2.4.2	/home/ace/websites/boldgains/boldgains.com.ng/wp-content/plugins/thrive-visual-editor/thrive-dashboard/js/dist/frontend.mina305.js	(from https://boldgains.com.ng/)
13:52:03	1426/1426	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2007%20Jan%202021%2001:59:24%20GMT	https://boldgains.com.ng/wp-includes/js/wp-embed.min.js?ver=5.8	/home/ace/websites/boldgains/boldgains.com.ng/wp-includes/js/wp-embed.min41a3.js	(from https://boldgains.com.ng/)
13:52:05	1571/1571	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2029%20Aug%202021%2013:52:05%20GMT	http://www.googletagmanager.com/robots.txt		(from https://boldgains.com.ng/)
13:52:05	1648/1648	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22stable-v4-6127f5ffb81%22	https://embed.tawk.to/60cf94f57f4b000ac03897ea/1f8ldrobs	/home/ace/websites/boldgains/embed.tawk.to/60cf94f57f4b000ac03897ea/1f8ldrobs.js	(from https://boldgains.com.ng/)
13:52:07	51/51	---MCZ	200	added ('OK')	text/plain	date:Sun,%2029%20Aug%202021%2013:52:06%20GMT	http://fonts.googleapis.com/robots.txt		(from https://boldgains.com.ng/)
13:52:08	24/24	---MC-	200	added ('OK')	text/plain	date:Sun,%2029%20Aug%202021%2013:52:07%20GMT	http://s.w.org/robots.txt		(from https://boldgains.com.ng/)
13:52:09	1571/1571	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2029%20Aug%202021%2013:52:08%20GMT	https://www.googletagmanager.com/robots.txt		(from https://boldgains.com.ng/)
13:52:10	858/858	---MCZ	200	added ('OK')	text/plain	date:Sun,%2029%20Aug%202021%2013:52:09%20GMT	https://www.facebook.com/robots.txt		(from https://boldgains.com.ng/)
